"objectId","createdAt","updatedAt","description","descriptionLong","discountTag","discountType","vendorId","expireDate","latitude","longitude"
"5n5WOUJbLu","03/03/2013 03:36:45","03/04/2013 10:57:45","$5 off on passport visa services","Save $5 on passport visa services","$5 OFF","0","sQBDny7Sea","05/31/2013 16:00:00","37.324458","-122.03381"
"erQ7DNa8wF","03/03/2013 03:29:44","03/27/2013 19:56:57","$5 off on passport visa services","Save $5 on passport visa services","$5 OFF","0","THuvOux5mX","05/31/2013 16:00:00","37.335884","-122.015518"
"DcUNemYpLn","03/03/2013 03:28:07","03/27/2013 19:58:27","20% off on tax services","Get 20% off on tax services","20% OFF","0","2AR9wX0TOR","04/30/2013 16:00:00","37.338073","-122.013811"
"Xjc9Tzi57r","03/03/2013 03:21:20","03/04/2013 10:58:12","$15 off on smog tests","Save $15 on smog tests","$15 OFF","0","bddh2nK0sR","04/30/2013 16:00:00","37.35166","-122.003581"
"za21dNhcww","03/03/2013 03:26:30","03/04/2013 10:58:01","$5 off on oil changes","Save $5 on oil changes","$5 OFF","0","ZFGl8Q2EWU","05/31/2013 16:00:00","37.367548","-121.996734"
"BROgsOtDqG","03/03/2013 03:24:36","03/04/2013 10:58:06","$5 off on massages","Save $5 on all massage services","$5 OFF","0","V8QKa6rFDV","04/30/2013 16:00:00","37.3828184","-121.9957617"
"1gNyoEepyf","03/04/2013 10:57:05","03/04/2013 11:04:42","50% off for first time customers","50% off on all beauty services for first time customers","50% OFF","0","ouACEsyKPZ","06/04/2013 16:00:00","37.50031","-121.97386"
"DWoipUY3zw","03/04/2013 11:05:18","03/04/2013 11:09:21","$5 off on 70 minute massage","Receive $5 off on 70 minute massage","$5 OFF","0","VK4PNw38gC","06/04/2013 16:00:00","37.500589","-121.972974"
"VKqPO6xGsd","03/04/2013 11:05:21","03/04/2013 11:09:09","15% off on foot massage","15% off on foot massage before 2pm","15% OFF","0","VK4PNw38gC","06/04/2013 16:00:00","37.500589","-121.972974"
"xnhV3FZmTQ","03/04/2013 11:10:39","03/04/2013 19:15:48","10% off on dining","10% off on purchases of $25 or over","10% OFF","0","Ql7hcFyhBv","06/04/2013 16:00:00","37.500668","-121.973083"
"nmZboEWMA3","03/04/2013 11:15:27","03/04/2013 11:18:41","20% off on sofa","20% off on sofa purchases","20% OFF","0","d0NwFMTVKR","06/04/2013 16:00:00","37.352629","-121.990212"
"SKhEghEkWZ","03/04/2013 11:13:42","03/04/2013 19:15:40","5% off on dining","5% off on purchases of $50 or more when paying with cash","5% OFF","0","At7RW2ZDye","06/04/2013 16:00:00","37.500477","-121.973355"
"CUEZFFT3GS","03/11/2013 01:22:36","03/27/2013 19:45:42","Free panties","Buy bra get free panties","Free panties","0","z4uIl2RJEb","06/10/2013 16:00:00","37.33569","-122.014341"
"DcKSQkaOsH","03/11/2013 01:27:18","03/11/2013 08:01:14","Discounts starting at 15%","20% off on matrix hair products, 15% off on women's haircut, 20% off on men's haircut ","Discounts","0","PJPzC7SqNm","06/11/2013 16:00:00","37.312559","-122.032717"
"sCcdIqHkGc","03/11/2013 01:32:16","03/11/2013 07:54:57","$1 Off","Purchase a dozen (12 bagels) with two tubes of cream cheese, get $1 off the purchase","$1 Off","0","xgI6DrIezS","05/11/2013 16:00:00","37.323119","-121.99564"
"aSrnZa8IXB","03/11/2013 01:37:52","03/11/2013 07:05:44","10% off alteration services","10% off any alternation services","10% Off","0","qPCYDZL5dB","06/11/2013 16:00:00","37.376568","-122.030399"
